D:\PycharmProjects\OpenCVProject\DataCollected/IMG0\Image_1618756875171515.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG0\Image_1618756876419166.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG0\Image_1618756877459615.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG0\Image_1618756878502602.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG0\Image_1618756879507565.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG0\Image_1618756880513252.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG0\Image_1618756881550322.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG0\Image_1618756882556253.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG0\Image_1618756883561549.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG0\Image_1618756884566958.jpg,0.5
