D:\PycharmProjects\OpenCVProject\DataCollected/IMG2\Image_1618757244234235.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG2\Image_1618757245291875.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG2\Image_1618757246299121.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG2\Image_161875724730437.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG2\Image_1618757248310069.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG2\Image_1618757249316097.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG2\Image_1618757250322197.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG2\Image_1618757251328523.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG2\Image_1618757252335077.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG2\Image_1618757253376676.jpg,0.5
