D:\PycharmProjects\OpenCVProject\DataCollected/IMG3\Image_1618757264207072.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG3\Image_1618757264247156.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG3\Image_1618757264263122.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG3\Image_1618757264310163.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG3\Image_1618757264342166.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG3\Image_1618757264374486.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG3\Image_1618757264405749.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG3\Image_1618757264438429.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG3\Image_1618757264470271.jpg,0.5
D:\PycharmProjects\OpenCVProject\DataCollected/IMG3\Image_1618757264502441.jpg,0.5
